t_s,system,role,cpu_percent,cpu_core_percent,lag_ms,in_flight_or_goroutines,rss_mb,note
1.000,sys1,load-balancer,0.00,0.00,0.00,1560,0,127.0.0.1:14201=65403.65 127.0.0.1:14202=72013.34 127.0.0.1:14203=70659.37
1.999,sys1,load-balancer,0.00,0.00,0.00,1404,0,127.0.0.1:14201=2143.57 127.0.0.1:14202=68368.53 127.0.0.1:14203=46356.48
