t_s,route,status,latency_ms,backend,ok
0.001,message,201,10.870,backend-2,true
0.001,message,201,10.710,backend-2,true
0.001,message,201,10.830,backend-2,true
0.001,message,201,10.880,backend-3,true
0.001,message,201,10.580,backend-2,true
0.001,message,201,11.010,backend-2,true
0.001,message,201,10.950,backend-3,true
0.001,message,201,10.700,backend-2,true
0.001,message,201,11.030,backend-3,true
0.001,message,201,10.920,backend-2,true
0.000,message,201,11.780,backend-3,true
0.001,message,201,11.000,backend-2,true
0.000,message,201,11.510,backend-2,true
0.001,message,201,17.320,backend-2,true
0.001,message,201,17.390,backend-1,true
0.001,message,201,17.600,backend-3,true
0.001,message,201,17.810,backend-3,true
0.000,message,201,18.320,backend-1,true
0.000,message,201,18.650,backend-2,true
0.001,message,201,18.100,backend-1,true
0.001,message,201,17.790,backend-3,true
0.001,message,201,18.000,backend-1,true
0.001,message,201,18.320,backend-1,true
0.002,message,201,16.570,backend-1,true
0.001,message,201,18.810,backend-1,true
0.001,message,201,18.930,backend-3,true
0.001,message,201,19.230,backend-3,true
0.001,message,201,19.790,backend-1,true
0.001,message,201,20.030,backend-1,true
0.000,message,201,20.750,backend-1,true
0.000,message,201,21.430,backend-2,true
0.002,message,201,19.860,backend-3,true
0.002,message,201,20.090,backend-3,true
0.002,message,201,20.000,backend-1,true
0.000,message,201,21.580,backend-3,true
0.003,message,201,18.640,backend-3,true
0.002,message,201,19.750,backend-2,true
0.001,message,201,21.160,backend-3,true
0.002,message,201,19.980,backend-2,true
0.000,message,201,21.800,backend-2,true
0.001,message,201,21.260,backend-1,true
0.004,message,201,18.710,backend-2,true
0.002,message,201,19.950,backend-3,true
0.002,message,201,20.560,backend-3,true
0.002,message,201,20.610,backend-1,true
0.002,message,201,20.410,backend-2,true
0.002,message,201,20.200,backend-2,true
0.002,message,201,20.470,backend-2,true
0.002,message,201,24.440,backend-1,true
0.004,message,201,26.720,backend-3,true
0.002,message,201,28.380,backend-3,true
0.006,message,201,24.860,backend-3,true
0.004,message,201,26.710,backend-3,true
0.006,message,201,25.170,backend-3,true
0.002,message,201,28.560,backend-3,true
0.004,message,201,26.780,backend-3,true
0.006,message,201,24.890,backend-3,true
0.002,message,201,28.740,backend-3,true
0.001,message,201,30.090,backend-3,true
0.006,message,201,24.590,backend-2,true
0.004,message,201,27.060,backend-3,true
0.002,message,201,28.680,backend-3,true
0.000,message,201,30.640,backend-3,true
0.002,message,201,28.540,backend-3,true
0.003,message,201,27.620,backend-3,true
0.001,message,201,29.680,backend-3,true
0.007,message,201,24.020,backend-3,true
0.000,message,201,30.700,backend-2,true
0.006,message,201,24.560,backend-2,true
0.001,message,201,29.740,backend-2,true
0.002,message,201,29.010,backend-2,true
0.002,message,201,28.650,backend-2,true
0.002,message,201,29.430,backend-2,true
0.006,message,201,24.960,backend-3,true
0.004,message,201,27.310,backend-3,true
0.002,message,201,28.850,backend-2,true
0.003,message,201,28.020,backend-2,true
0.006,message,201,24.840,backend-3,true
0.006,message,201,25.210,backend-3,true
0.006,message,201,24.850,backend-3,true
0.003,message,201,28.160,backend-2,true
0.002,message,201,29.290,backend-2,true
0.012,message,201,19.080,backend-3,true
0.002,message,201,29.250,backend-2,true
0.006,message,201,25.150,backend-3,true
0.002,message,201,29.410,backend-3,true
0.006,message,201,25.520,backend-3,true
0.002,message,201,29.500,backend-1,true
0.006,message,201,25.240,backend-2,true
0.002,message,201,29.570,backend-2,true
0.006,message,201,25.840,backend-2,true
0.002,message,201,29.680,backend-1,true
0.001,message,201,30.360,backend-2,true
0.004,message,201,27.900,backend-1,true
0.004,message,201,27.640,backend-2,true
0.006,message,201,25.340,backend-3,true
0.003,message,201,28.600,backend-1,true
0.003,message,201,28.080,backend-2,true
0.003,message,201,29.030,backend-1,true
0.001,message,201,30.130,backend-2,true
0.002,message,201,30.000,backend-1,true
0.001,message,201,30.360,backend-1,true
0.001,message,201,30.150,backend-2,true
0.004,message,201,27.710,backend-1,true
0.002,message,201,30.060,backend-1,true
0.001,message,201,30.240,backend-1,true
0.006,message,201,25.960,backend-2,true
0.001,message,201,30.470,backend-1,true
0.002,message,201,29.870,backend-1,true
0.002,message,201,29.520,backend-1,true
0.001,message,201,30.590,backend-1,true
0.000,message,201,31.830,backend-1,true
0.003,message,201,28.820,backend-1,true
0.001,message,201,30.690,backend-1,true
0.001,message,201,30.620,backend-1,true
0.006,message,201,25.930,backend-1,true
0.006,message,201,25.560,backend-1,true
0.006,message,201,25.950,backend-1,true
0.004,message,201,27.740,backend-1,true
0.002,message,201,30.240,backend-2,true
0.001,message,201,30.770,backend-1,true
0.006,message,201,25.770,backend-2,true
0.000,message,201,31.860,backend-1,true
0.001,message,201,30.780,backend-1,true
0.002,message,201,31.990,backend-2,true
0.006,message,201,28.180,backend-2,true
0.006,message,201,27.920,backend-2,true
0.002,message,201,32.560,backend-1,true
0.002,message,201,32.410,backend-2,true
0.007,message,201,27.670,backend-1,true
0.001,message,201,33.160,backend-2,true
0.007,message,201,27.730,backend-2,true
0.006,message,201,28.610,backend-1,true
0.003,message,201,32.000,backend-1,true
0.006,message,201,28.650,backend-2,true
0.001,message,201,33.240,backend-2,true
0.007,message,201,27.660,backend-2,true
0.012,message,201,22.470,backend-1,true
0.003,message,201,32.090,backend-3,true
0.012,message,201,23.100,backend-3,true
0.013,message,201,21.740,backend-3,true
0.006,message,201,28.840,backend-3,true
0.006,message,201,28.560,backend-3,true
0.006,message,201,28.910,backend-3,true
0.006,message,201,28.700,backend-2,true
0.014,message,201,21.230,backend-2,true
0.012,message,201,23.610,backend-3,true
0.006,message,201,28.950,backend-2,true
0.021,message,201,14.520,backend-3,true
0.008,message,201,26.820,backend-2,true
0.009,message,201,26.700,backend-2,true
0.012,message,201,23.560,backend-3,true
0.012,message,201,23.240,backend-3,true
0.019,message,201,16.380,backend-3,true
0.019,message,201,16.810,backend-3,true
0.007,message,201,28.960,backend-3,true
0.006,message,201,29.520,backend-3,true
0.006,message,201,29.300,backend-3,true
0.031,message,201,4.490,backend-3,true
0.012,message,201,23.650,backend-3,true
0.006,message,201,29.500,backend-2,true
0.002,message,201,33.310,backend-2,true
0.003,message,201,33.230,backend-3,true
0.013,message,201,22.480,backend-3,true
0.006,message,201,29.840,backend-3,true
0.021,message,201,15.030,backend-3,true
0.006,message,201,29.830,backend-3,true
0.012,message,201,23.680,backend-2,true
0.022,message,201,14.070,backend-3,true
0.007,message,201,29.100,backend-3,true
0.002,message,201,33.420,backend-3,true
0.019,message,201,16.830,backend-3,true
0.012,message,201,24.320,backend-2,true
0.006,message,201,30.240,backend-3,true
0.002,message,201,33.900,backend-3,true
0.013,message,201,22.620,backend-3,true
0.013,message,201,23.180,backend-3,true
0.006,message,201,29.950,backend-2,true
0.006,message,201,30.090,backend-2,true
0.006,message,201,29.630,backend-2,true
0.006,message,201,30.000,backend-2,true
0.022,message,201,14.110,backend-3,true
0.006,message,201,30.130,backend-2,true
0.012,message,201,24.190,backend-3,true
0.006,message,201,30.330,backend-2,true
0.012,message,201,24.130,backend-3,true
0.012,message,201,24.180,backend-3,true
0.008,message,201,28.020,backend-2,true
0.002,message,201,34.450,backend-2,true
