t_s,route,status,latency_ms,backend,ok
0.001,message,201,28.750,backend-2,true
0.001,message,201,28.830,backend-2,true
0.000,message,201,29.230,backend-2,true
0.000,message,201,30.110,backend-3,true
0.000,message,201,29.520,backend-3,true
0.000,message,201,29.500,backend-2,true
0.000,message,201,29.910,backend-2,true
0.000,message,201,30.500,backend-2,true
0.001,message,201,33.040,backend-3,true
0.000,message,201,33.740,backend-1,true
0.000,message,201,33.970,backend-1,true
0.001,message,201,33.960,backend-3,true
0.004,message,201,30.950,backend-3,true
0.000,message,201,34.410,backend-3,true
0.001,message,201,34.170,backend-3,true
0.001,message,201,34.180,backend-3,true
0.001,message,201,33.720,backend-3,true
0.001,message,201,33.490,backend-3,true
0.001,message,201,39.620,backend-1,true
0.004,message,201,36.490,backend-1,true
0.001,message,201,39.800,backend-3,true
0.004,message,201,36.620,backend-3,true
0.011,message,201,29.230,backend-3,true
0.000,message,201,41.060,backend-2,true
0.001,message,201,39.830,backend-2,true
0.004,message,201,36.690,backend-2,true
0.002,message,201,38.450,backend-2,true
0.001,message,201,39.930,backend-3,true
0.000,message,201,40.830,backend-1,true
0.001,message,201,40.140,backend-3,true
0.004,message,201,36.990,backend-3,true
0.003,message,201,37.860,backend-3,true
0.000,message,201,41.300,backend-3,true
0.001,message,201,40.020,backend-3,true
0.002,message,201,39.080,backend-1,true
0.001,message,201,39.880,backend-1,true
0.003,message,201,38.450,backend-1,true
0.002,message,201,39.380,backend-1,true
0.004,message,201,37.200,backend-1,true
0.001,message,201,39.850,backend-1,true
0.000,message,201,43.910,backend-1,true
0.000,message,201,43.380,backend-1,true
0.001,message,201,42.980,backend-1,true
0.001,message,201,43.650,backend-1,true
0.001,message,201,43.740,backend-1,true
0.001,message,201,43.650,backend-1,true
0.001,message,201,43.870,backend-1,true
0.001,message,201,43.900,backend-2,true
0.000,message,201,44.450,backend-1,true
0.003,message,201,41.980,backend-2,true
0.007,message,201,44.190,backend-3,true
0.007,message,201,44.060,backend-3,true
0.001,message,201,50.050,backend-3,true
0.008,message,201,43.960,backend-3,true
0.010,message,201,41.880,backend-3,true
0.002,message,201,49.650,backend-3,true
0.009,message,201,42.070,backend-3,true
0.006,message,201,45.120,backend-3,true
0.010,message,201,41.590,backend-3,true
0.010,message,201,41.880,backend-3,true
0.003,message,201,49.060,backend-3,true
0.045,message,201,6.770,backend-3,true
0.007,message,201,44.260,backend-3,true
0.010,message,201,41.750,backend-3,true
0.006,message,201,45.300,backend-3,true
0.003,message,201,49.220,backend-2,true
0.002,message,201,50.240,backend-2,true
0.002,message,201,49.360,backend-3,true
0.035,message,201,17.190,backend-3,true
0.035,message,201,17.180,backend-3,true
0.002,message,201,49.600,backend-3,true
0.035,message,201,17.290,backend-3,true
0.003,message,201,48.920,backend-3,true
0.004,message,201,47.700,backend-3,true
0.002,message,201,49.510,backend-3,true
0.001,message,201,50.790,backend-3,true
0.010,message,201,41.760,backend-1,true
0.030,message,201,22.170,backend-3,true
0.003,message,201,49.260,backend-3,true
0.015,message,201,36.770,backend-3,true
0.002,message,201,50.100,backend-3,true
0.030,message,201,22.350,backend-3,true
0.012,message,201,40.580,backend-3,true
0.001,message,201,57.110,backend-2,true
0.003,message,201,55.580,backend-2,true
0.000,message,201,58.840,backend-2,true
0.001,message,201,57.270,backend-2,true
0.044,message,201,14.490,backend-3,true
0.043,message,201,18.800,backend-3,true
0.045,message,201,17.430,backend-3,true
0.010,message,201,51.970,backend-3,true
0.008,message,201,54.670,backend-3,true
0.002,message,201,60.020,backend-3,true
0.010,message,201,52.020,backend-3,true
0.008,message,201,54.710,backend-3,true
0.002,message,201,60.060,backend-3,true
0.011,message,201,51.940,backend-3,true
0.011,message,201,51.970,backend-3,true
0.000,message,201,62.180,backend-3,true
0.011,message,201,51.450,backend-3,true
0.011,message,201,52.050,backend-3,true
0.011,message,201,51.450,backend-3,true
0.007,message,201,55.250,backend-3,true
0.010,message,201,52.340,backend-3,true
0.006,message,201,56.220,backend-3,true
0.011,message,201,51.530,backend-3,true
0.007,message,201,56.220,backend-3,true
0.003,message,201,59.670,backend-2,true
0.007,message,201,60.540,backend-3,true
0.003,message,201,64.900,backend-1,true
0.002,message,201,65.970,backend-2,true
0.011,message,201,57.070,backend-1,true
0.002,message,201,65.410,backend-1,true
0.002,message,201,65.620,backend-2,true
0.002,message,201,65.770,backend-2,true
0.003,message,201,65.340,backend-1,true
0.002,message,201,66.300,backend-1,true
0.045,message,201,23.030,backend-3,true
0.011,message,201,57.270,backend-1,true
0.009,message,201,58.570,backend-3,true
0.052,message,201,15.840,backend-1,true
0.011,message,201,56.760,backend-1,true
0.007,message,201,61.450,backend-1,true
0.006,message,201,61.500,backend-1,true
0.052,message,201,16.360,backend-1,true
0.004,message,201,63.810,backend-1,true
0.003,message,201,65.310,backend-1,true
0.052,message,201,16.110,backend-3,true
0.002,message,201,65.720,backend-2,true
0.052,message,201,16.470,backend-3,true
0.002,message,201,66.580,backend-1,true
0.007,message,201,60.660,backend-1,true
0.002,message,201,66.530,backend-3,true
0.010,message,201,58.140,backend-2,true
0.008,message,201,60.310,backend-1,true
0.004,message,201,64.700,backend-3,true
0.010,message,201,58.120,backend-2,true
0.015,message,201,53.110,backend-2,true
0.008,message,201,60.680,backend-2,true
0.003,message,201,65.390,backend-2,true
0.015,message,201,53.670,backend-2,true
0.011,message,201,57.140,backend-1,true
0.008,message,201,60.680,backend-2,true
0.029,message,201,38.990,backend-2,true
0.030,message,201,38.810,backend-2,true
0.006,message,201,61.890,backend-1,true
0.006,message,201,61.960,backend-2,true
0.015,message,201,53.610,backend-2,true
0.006,message,201,62.120,backend-2,true
0.002,message,201,66.320,backend-1,true
0.007,message,201,61.040,backend-2,true
0.007,message,201,61.190,backend-2,true
0.002,message,201,66.080,backend-2,true
0.001,message,201,67.500,backend-2,true
0.007,message,201,61.780,backend-1,true
0.000,message,201,68.420,backend-3,true
0.008,message,201,61.080,backend-2,true
0.010,message,201,58.780,backend-2,true
0.052,message,201,16.570,backend-1,true
0.003,message,201,65.620,backend-3,true
0.007,message,201,61.180,backend-2,true
0.007,message,201,61.400,backend-1,true
0.003,message,201,66.130,backend-3,true
0.003,message,201,65.650,backend-3,true
0.052,message,201,16.630,backend-3,true
0.004,message,201,64.610,backend-3,true
0.003,message,201,65.890,backend-3,true
0.004,message,201,64.620,backend-3,true
0.000,message,201,68.360,backend-2,true
0.035,message,201,34.010,backend-1,true
0.011,message,201,57.430,backend-3,true
0.008,message,201,61.140,backend-1,true
0.052,message,201,16.930,backend-1,true
0.035,message,201,34.110,backend-1,true
0.001,message,201,67.460,backend-1,true
0.045,message,201,24.100,backend-1,true
0.002,message,201,69.360,backend-2,true
0.043,message,201,28.240,backend-1,true
0.002,message,201,70.100,backend-1,true
0.004,message,201,68.180,backend-1,true
