t_s,route,status,latency_ms,backend,ok
0.000,message,201,19.730,backend-1,true
0.001,message,201,19.570,backend-1,true
0.001,message,201,19.900,backend-1,true
0.001,message,201,20.300,backend-3,true
0.001,message,201,20.250,backend-1,true
0.001,message,201,20.810,backend-3,true
0.001,message,201,20.810,backend-3,true
0.001,message,201,20.980,backend-2,true
0.001,message,201,20.910,backend-2,true
0.001,message,201,21.030,backend-3,true
0.001,message,201,21.040,backend-2,true
0.001,message,201,22.030,backend-3,true
0.001,message,201,22.090,backend-3,true
0.001,message,201,21.880,backend-3,true
0.001,message,201,21.960,backend-3,true
0.001,message,201,22.270,backend-3,true
0.001,message,201,21.960,backend-2,true
0.001,message,201,23.330,backend-2,true
0.001,message,201,23.770,backend-1,true
0.002,message,201,23.300,backend-1,true
0.001,message,201,23.730,backend-2,true
0.001,message,201,23.880,backend-1,true
0.001,message,201,24.010,backend-2,true
0.001,message,201,24.570,backend-1,true
0.001,message,201,24.860,backend-3,true
0.001,message,201,24.460,backend-2,true
0.002,message,201,24.020,backend-2,true
0.001,message,201,27.520,backend-1,true
0.005,message,201,24.410,backend-3,true
0.002,message,201,27.020,backend-1,true
0.002,message,201,27.280,backend-3,true
0.004,message,201,24.860,backend-1,true
0.002,message,201,27.600,backend-1,true
0.002,message,201,27.820,backend-2,true
0.003,message,201,27.760,backend-1,true
0.004,message,201,26.590,backend-3,true
0.008,message,201,24.230,backend-3,true
0.003,message,201,29.770,backend-2,true
0.003,message,201,29.510,backend-2,true
0.008,message,201,23.990,backend-2,true
0.001,message,201,31.610,backend-3,true
0.002,message,201,30.260,backend-1,true
0.001,message,201,31.530,backend-1,true
0.003,message,201,29.540,backend-2,true
0.008,message,201,24.140,backend-1,true
0.005,message,201,27.670,backend-3,true
0.004,message,201,28.080,backend-3,true
0.006,message,201,26.890,backend-3,true
0.001,message,201,31.710,backend-3,true
0.005,message,201,27.760,backend-2,true
0.009,message,201,23.700,backend-2,true
0.002,message,201,30.810,backend-2,true
0.008,message,201,24.160,backend-2,true
0.003,message,201,29.590,backend-2,true
0.004,message,201,28.930,backend-1,true
0.003,message,201,29.490,backend-3,true
0.006,message,201,27.050,backend-3,true
0.002,message,201,30.400,backend-3,true
0.004,message,201,28.940,backend-1,true
0.004,message,201,28.500,backend-2,true
0.005,message,201,27.990,backend-3,true
0.001,message,201,31.680,backend-2,true
0.004,message,201,28.220,backend-1,true
0.004,message,201,29.030,backend-1,true
0.003,message,201,29.790,backend-1,true
0.001,message,201,31.350,backend-2,true
0.004,message,201,28.900,backend-2,true
0.004,message,201,28.740,backend-1,true
0.003,message,201,29.640,backend-3,true
0.001,message,201,31.860,backend-1,true
0.004,message,201,28.500,backend-1,true
0.009,message,201,24.230,backend-2,true
0.003,message,201,29.710,backend-1,true
0.005,message,201,27.850,backend-1,true
0.003,message,201,29.500,backend-1,true
0.005,message,201,27.970,backend-3,true
0.003,message,201,29.590,backend-1,true
0.001,message,201,31.530,backend-1,true
0.004,message,201,28.670,backend-1,true
0.006,message,201,26.710,backend-2,true
0.002,message,201,30.690,backend-3,true
0.006,message,201,26.660,backend-2,true
0.005,message,201,28.020,backend-2,true
0.002,message,201,30.870,backend-3,true
0.003,message,201,29.640,backend-2,true
0.002,message,201,30.850,backend-1,true
0.001,message,201,31.590,backend-3,true
0.004,message,201,28.500,backend-3,true
0.002,message,201,30.890,backend-2,true
0.008,message,201,24.610,backend-2,true
0.007,message,201,26.130,backend-3,true
0.001,message,201,31.820,backend-1,true
0.001,message,201,31.930,backend-3,true
0.001,message,201,31.720,backend-3,true
0.008,message,201,24.630,backend-3,true
0.001,message,201,31.750,backend-1,true
0.002,message,201,30.770,backend-3,true
0.009,message,201,24.210,backend-2,true
0.002,message,201,30.990,backend-2,true
0.001,message,201,32.020,backend-3,true
0.006,message,201,27.450,backend-1,true
0.002,message,201,30.910,backend-1,true
0.004,message,201,29.030,backend-2,true
0.006,message,201,27.390,backend-1,true
0.001,message,201,32.600,backend-2,true
0.004,message,201,28.950,backend-3,true
0.004,message,201,29.410,backend-3,true
0.004,message,201,29.470,backend-2,true
0.005,message,201,28.190,backend-1,true
0.005,message,201,28.240,backend-1,true
0.004,message,201,29.280,backend-3,true
0.003,message,201,30.580,backend-2,true
0.004,message,201,29.120,backend-2,true
0.008,message,201,24.860,backend-3,true
0.009,message,201,24.390,backend-3,true
0.005,message,201,28.530,backend-2,true
0.001,message,201,32.100,backend-2,true
0.002,message,201,31.340,backend-2,true
0.004,message,201,28.990,backend-2,true
0.005,message,201,28.780,backend-2,true
0.004,message,201,29.530,backend-1,true
0.005,message,201,28.400,backend-1,true
0.002,message,201,31.230,backend-2,true
0.002,message,201,31.120,backend-1,true
0.003,message,201,30.710,backend-1,true
0.005,message,201,28.650,backend-3,true
0.006,message,201,27.500,backend-2,true
0.005,message,201,28.490,backend-2,true
0.001,message,201,32.250,backend-3,true
0.002,message,201,31.170,backend-1,true
0.005,message,201,28.610,backend-2,true
0.001,message,201,32.240,backend-3,true
0.008,message,201,25.130,backend-1,true
0.001,message,201,32.430,backend-1,true
0.001,message,201,32.520,backend-2,true
0.002,message,201,31.470,backend-2,true
0.005,message,201,28.740,backend-2,true
0.004,message,201,29.350,backend-2,true
0.006,message,201,27.720,backend-2,true
0.002,message,201,31.540,backend-2,true
0.006,message,201,28.000,backend-3,true
0.002,message,201,31.380,backend-2,true
0.002,message,201,31.250,backend-3,true
0.002,message,201,31.390,backend-3,true
0.003,message,201,30.350,backend-3,true
0.004,message,201,29.640,backend-3,true
0.004,message,201,29.840,backend-2,true
0.005,message,201,28.900,backend-2,true
0.001,message,201,32.600,backend-2,true
0.001,message,201,32.280,backend-2,true
0.005,message,201,28.950,backend-3,true
0.005,message,201,28.850,backend-3,true
0.004,message,201,29.260,backend-2,true
0.005,message,201,28.790,backend-2,true
0.001,message,201,32.820,backend-1,true
0.005,message,201,28.880,backend-2,true
0.004,message,201,29.800,backend-2,true
0.003,message,201,30.820,backend-3,true
0.001,message,201,32.870,backend-3,true
0.001,message,201,32.760,backend-3,true
0.004,message,201,29.890,backend-2,true
0.004,message,201,30.120,backend-2,true
0.004,message,201,30.150,backend-2,true
0.004,message,201,30.130,backend-2,true
0.003,message,201,31.450,backend-2,true
0.003,message,201,31.070,backend-2,true
0.002,message,201,31.950,backend-2,true
0.004,message,201,30.230,backend-2,true
0.001,message,201,33.270,backend-2,true
0.004,message,201,30.540,backend-3,true
0.002,message,201,32.370,backend-3,true
0.002,message,201,32.430,backend-1,true
0.002,message,201,32.250,backend-3,true
0.002,message,201,32.110,backend-3,true
0.002,message,201,32.760,backend-1,true
0.002,message,201,32.830,backend-1,true
0.003,message,201,31.620,backend-1,true
0.002,message,201,32.530,backend-1,true
0.002,message,201,32.650,backend-3,true
0.002,message,201,32.520,backend-3,true
0.003,message,201,31.750,backend-3,true
0.004,message,201,30.710,backend-1,true
0.001,message,201,33.100,backend-3,true
0.004,message,201,30.140,backend-1,true
0.002,message,201,32.220,backend-1,true
0.003,message,201,31.920,backend-1,true
0.004,message,201,30.260,backend-3,true
0.004,message,201,30.760,backend-3,true
0.004,message,201,30.830,backend-3,true
0.003,message,201,31.660,backend-1,true
0.003,message,201,31.880,backend-3,true
0.004,message,201,30.350,backend-1,true
0.004,message,201,30.860,backend-1,true
0.004,message,201,30.760,backend-1,true
0.003,message,201,32.120,backend-3,true
0.001,message,201,33.660,backend-1,true
0.001,message,201,33.560,backend-1,true
0.001,message,201,33.920,backend-3,true
0.002,message,201,32.660,backend-3,true
0.002,message,201,32.750,backend-1,true
0.002,message,201,33.200,backend-3,true
0.001,message,201,33.640,backend-3,true
0.002,message,201,33.220,backend-3,true
0.002,message,201,33.110,backend-3,true
0.002,message,201,32.950,backend-3,true
0.001,message,201,33.830,backend-2,true
0.002,message,201,33.390,backend-1,true
0.001,message,201,34.170,backend-1,true
0.009,message,201,26.340,backend-1,true
0.002,message,201,33.480,backend-1,true
0.021,message,201,14.520,backend-2,true
0.001,message,201,34.170,backend-1,true
0.002,message,201,33.390,backend-2,true
0.001,message,201,33.870,backend-3,true
0.002,message,201,33.620,backend-3,true
0.002,message,201,33.090,backend-3,true
0.002,message,201,33.700,backend-1,true
0.001,message,201,34.250,backend-1,true
0.002,message,201,33.600,backend-2,true
0.001,message,201,33.970,backend-2,true
0.002,message,201,33.650,backend-3,true
0.002,message,201,33.870,backend-1,true
0.003,message,201,32.450,backend-2,true
0.002,message,201,33.830,backend-1,true
0.002,message,201,33.570,backend-1,true
0.001,message,201,34.320,backend-2,true
0.002,message,201,34.150,backend-1,true
0.002,message,201,34.140,backend-2,true
0.002,message,201,34.030,backend-2,true
0.002,message,201,34.110,backend-1,true
0.001,message,201,35.050,backend-2,true
0.002,message,201,34.180,backend-1,true
0.023,message,201,12.930,backend-1,true
0.021,message,201,15.090,backend-3,true
0.009,message,201,26.790,backend-2,true
0.009,message,201,26.780,backend-3,true
0.010,message,201,26.210,backend-2,true
0.011,message,201,25.760,backend-2,true
0.010,message,201,25.990,backend-2,true
0.022,message,201,14.880,backend-3,true
0.010,message,201,26.620,backend-1,true
0.010,message,201,26.610,backend-3,true
0.031,message,201,6.140,backend-2,true
0.009,message,201,27.700,backend-1,true
0.026,message,201,11.080,backend-1,true
0.010,message,201,26.620,backend-2,true
0.003,message,201,34.080,backend-3,true
0.022,message,201,15.280,backend-3,true
0.003,message,201,34.050,backend-1,true
0.009,message,201,28.090,backend-1,true
0.010,message,201,26.770,backend-3,true
0.010,message,201,26.680,backend-2,true
0.033,message,201,4.130,backend-2,true
0.010,message,201,27.450,backend-3,true
0.009,message,201,27.700,backend-1,true
0.025,message,201,12.250,backend-1,true
0.009,message,201,27.820,backend-2,true
0.025,message,201,11.680,backend-1,true
0.010,message,201,27.190,backend-3,true
0.029,message,201,8.000,backend-1,true
0.010,message,201,27.320,backend-3,true
0.023,message,201,13.920,backend-3,true
0.009,message,201,28.170,backend-3,true
0.033,message,201,6.070,backend-2,true
0.005,message,201,34.070,backend-2,true
0.033,message,201,5.330,backend-2,true
0.033,message,201,5.350,backend-1,true
0.033,message,201,5.470,backend-2,true
0.033,message,201,6.100,backend-2,true
0.026,message,201,13.210,backend-1,true
0.033,message,201,5.520,backend-2,true
0.033,message,201,6.290,backend-1,true
0.033,message,201,6.220,backend-2,true
0.020,message,201,18.610,backend-2,true
0.022,message,201,17.270,backend-1,true
0.033,message,201,6.070,backend-2,true
0.022,message,201,17.020,backend-2,true
0.004,message,201,35.180,backend-3,true
0.033,message,201,6.080,backend-2,true
0.033,message,201,6.230,backend-1,true
0.009,message,201,29.700,backend-1,true
0.033,message,201,5.640,backend-2,true
0.029,message,201,9.530,backend-2,true
0.033,message,201,6.240,backend-2,true
0.033,message,201,6.100,backend-2,true
0.003,message,201,36.180,backend-1,true
0.033,message,201,5.690,backend-2,true
0.033,message,201,6.300,backend-1,true
0.033,message,201,6.480,backend-2,true
0.010,message,201,29.480,backend-1,true
0.033,message,201,6.120,backend-2,true
0.033,message,201,6.560,backend-2,true
0.033,message,201,5.760,backend-2,true
0.033,message,201,6.520,backend-2,true
0.033,message,201,6.540,backend-2,true
0.033,message,201,6.470,backend-2,true
0.010,message,201,28.960,backend-3,true
0.033,message,201,6.500,backend-2,true
0.003,message,201,36.580,backend-1,true
0.022,message,201,17.480,backend-1,true
0.009,message,201,30.410,backend-1,true
0.010,message,201,30.310,backend-1,true
0.010,message,201,30.140,backend-1,true
0.010,message,201,29.860,backend-3,true
0.009,message,201,30.880,backend-3,true
0.011,message,201,29.440,backend-3,true
0.010,message,201,30.580,backend-3,true
0.010,message,201,30.480,backend-3,true
0.011,message,201,29.510,backend-2,true
0.004,message,201,35.710,backend-1,true
0.033,message,201,9.820,backend-1,true
0.033,message,201,10.180,backend-1,true
0.033,message,201,10.200,backend-1,true
0.033,message,201,10.110,backend-2,true
0.033,message,201,10.220,backend-2,true
0.011,message,201,32.340,backend-3,true
0.010,message,201,32.620,backend-3,true
0.033,message,201,10.170,backend-1,true
0.011,message,201,32.320,backend-3,true
0.010,message,201,32.960,backend-1,true
0.006,message,201,37.370,backend-2,true
