t_s,route,status,latency_ms,backend,ok
0.001,message,201,25.910,backend-1,true
0.001,message,201,25.560,backend-2,true
0.002,message,201,25.360,backend-1,true
0.001,message,201,26.140,backend-3,true
0.001,message,201,26.150,backend-2,true
0.001,message,201,26.320,backend-1,true
0.001,message,201,26.390,backend-1,true
0.001,message,201,25.720,backend-2,true
0.001,message,201,25.920,backend-1,true
0.001,message,201,25.830,backend-2,true
0.001,message,201,25.720,backend-2,true
0.001,message,201,26.170,backend-2,true
0.001,message,201,25.960,backend-1,true
0.001,message,201,26.150,backend-2,true
0.002,message,201,25.530,backend-2,true
0.001,message,201,26.350,backend-3,true
0.002,message,201,25.480,backend-1,true
0.001,message,201,26.090,backend-3,true
0.001,message,201,26.290,backend-3,true
0.001,message,201,26.390,backend-3,true
0.000,message,201,26.790,backend-1,true
0.001,message,201,25.770,backend-1,true
0.000,message,201,26.950,backend-2,true
0.001,message,201,26.250,backend-3,true
0.000,message,201,26.760,backend-1,true
0.001,message,201,26.350,backend-3,true
0.001,message,201,26.610,backend-3,true
0.001,message,201,26.380,backend-2,true
0.001,message,201,26.120,backend-3,true
0.001,message,201,26.610,backend-2,true
0.000,message,201,26.990,backend-1,true
0.001,message,201,26.710,backend-1,true
0.001,message,201,26.200,backend-3,true
0.001,message,201,26.760,backend-3,true
0.001,message,201,26.260,backend-1,true
0.001,message,201,26.490,backend-1,true
0.004,message,201,24.550,backend-1,true
0.004,message,201,24.510,backend-3,true
0.004,message,201,24.580,backend-3,true
0.004,message,201,24.650,backend-3,true
0.004,message,201,24.540,backend-3,true
0.004,message,201,24.770,backend-3,true
0.002,message,201,27.020,backend-2,true
0.001,message,201,27.940,backend-3,true
0.004,message,201,24.670,backend-1,true
0.005,message,201,24.080,backend-3,true
0.004,message,201,24.530,backend-3,true
0.005,message,201,24.080,backend-3,true
0.001,message,201,27.250,backend-3,true
0.004,message,201,24.530,backend-3,true
0.005,message,201,24.200,backend-3,true
0.004,message,201,25.020,backend-1,true
0.001,message,201,28.180,backend-3,true
0.003,message,201,26.100,backend-3,true
0.002,message,201,27.210,backend-3,true
0.002,message,201,26.990,backend-2,true
0.002,message,201,27.340,backend-2,true
0.002,message,201,26.960,backend-2,true
0.002,message,201,26.720,backend-3,true
0.004,message,201,25.080,backend-3,true
0.004,message,201,24.930,backend-3,true
0.004,message,201,25.150,backend-3,true
0.004,message,201,24.960,backend-3,true
0.004,message,201,25.230,backend-1,true
0.001,message,201,27.730,backend-3,true
0.002,message,201,27.080,backend-1,true
0.002,message,201,27.430,backend-1,true
0.004,message,201,25.470,backend-1,true
0.004,message,201,25.190,backend-1,true
0.001,message,201,27.970,backend-3,true
0.001,message,201,28.000,backend-3,true
0.001,message,201,27.820,backend-3,true
0.001,message,201,28.050,backend-3,true
0.001,message,201,27.900,backend-3,true
0.002,message,201,27.600,backend-1,true
0.001,message,201,28.070,backend-3,true
0.001,message,201,28.430,backend-3,true
0.001,message,201,29.430,backend-3,true
0.001,message,201,29.020,backend-3,true
0.001,message,201,29.020,backend-3,true
0.001,message,201,28.960,backend-3,true
0.002,message,201,28.920,backend-3,true
0.001,message,201,29.240,backend-3,true
0.001,message,201,29.230,backend-3,true
0.001,message,201,29.080,backend-3,true
0.001,message,201,29.310,backend-3,true
0.001,message,201,29.090,backend-3,true
0.002,message,201,29.050,backend-3,true
0.002,message,201,29.020,backend-3,true
0.001,message,201,29.300,backend-3,true
0.002,message,201,29.090,backend-3,true
0.001,message,201,29.780,backend-3,true
0.001,message,201,29.220,backend-3,true
0.002,message,201,29.090,backend-3,true
0.000,message,201,30.790,backend-3,true
0.000,message,201,30.850,backend-3,true
0.001,message,201,30.660,backend-3,true
0.000,message,201,32.340,backend-3,true
0.001,message,201,32.060,backend-3,true
0.009,message,201,28.200,backend-1,true
0.027,message,201,10.110,backend-1,true
0.003,message,201,36.020,backend-1,true
0.008,message,201,30.750,backend-1,true
0.008,message,201,30.820,backend-1,true
0.008,message,201,30.800,backend-1,true
0.009,message,201,30.770,backend-1,true
0.009,message,201,30.700,backend-1,true
0.009,message,201,30.960,backend-1,true
0.009,message,201,30.960,backend-1,true
0.009,message,201,31.030,backend-1,true
0.009,message,201,31.050,backend-1,true
0.002,message,201,38.250,backend-1,true
0.027,message,201,12.680,backend-1,true
0.002,message,201,38.290,backend-1,true
0.003,message,201,37.410,backend-1,true
0.001,message,201,39.630,backend-1,true
0.004,message,201,35.760,backend-1,true
0.001,message,201,39.660,backend-1,true
0.008,message,201,32.160,backend-1,true
0.009,message,201,31.500,backend-1,true
0.005,message,201,35.690,backend-1,true
0.027,message,201,13.380,backend-1,true
0.002,message,201,37.990,backend-1,true
0.002,message,201,38.630,backend-1,true
0.027,message,201,13.180,backend-1,true
0.027,message,201,13.410,backend-1,true
0.027,message,201,13.550,backend-1,true
0.004,message,201,36.780,backend-1,true
0.004,message,201,36.820,backend-1,true
0.001,message,201,39.880,backend-1,true
0.027,message,201,13.650,backend-1,true
0.004,message,201,36.510,backend-1,true
0.004,message,201,36.580,backend-1,true
0.004,message,201,36.220,backend-1,true
0.005,message,201,35.760,backend-1,true
0.005,message,201,35.980,backend-1,true
0.001,message,201,40.000,backend-1,true
0.004,message,201,36.720,backend-1,true
0.005,message,201,35.940,backend-1,true
0.005,message,201,36.180,backend-1,true
0.001,message,201,40.210,backend-1,true
0.003,message,201,38.360,backend-1,true
0.004,message,201,39.120,backend-2,true
0.005,message,201,38.530,backend-2,true
0.005,message,201,38.700,backend-2,true
0.001,message,201,42.580,backend-2,true
0.002,message,201,41.460,backend-2,true
0.002,message,201,41.450,backend-2,true
0.006,message,201,37.710,backend-2,true
0.005,message,201,38.530,backend-2,true
0.005,message,201,38.590,backend-2,true
0.005,message,201,38.100,backend-2,true
0.002,message,201,41.100,backend-2,true
0.002,message,201,41.060,backend-2,true
0.002,message,201,41.630,backend-2,true
0.002,message,201,41.820,backend-2,true
0.001,message,201,42.640,backend-2,true
0.002,message,201,41.730,backend-2,true
0.003,message,201,40.970,backend-2,true
0.005,message,201,38.700,backend-2,true
0.003,message,201,41.120,backend-2,true
0.002,message,201,41.700,backend-2,true
0.001,message,201,42.840,backend-3,true
0.004,message,201,39.260,backend-3,true
0.003,message,201,42.300,backend-2,true
0.001,message,201,43.890,backend-2,true
0.001,message,201,43.930,backend-2,true
0.005,message,201,40.350,backend-2,true
0.004,message,201,40.650,backend-2,true
0.004,message,201,40.920,backend-2,true
0.004,message,201,40.850,backend-2,true
0.004,message,201,41.120,backend-2,true
0.002,message,201,43.140,backend-3,true
0.004,message,201,40.810,backend-3,true
0.005,message,201,40.530,backend-3,true
0.002,message,201,42.920,backend-3,true
0.001,message,201,44.270,backend-3,true
0.002,message,201,43.440,backend-3,true
0.002,message,201,43.440,backend-1,true
0.001,message,201,44.350,backend-3,true
0.002,message,201,43.420,backend-3,true
0.005,message,201,40.360,backend-3,true
0.002,message,201,43.490,backend-1,true
0.003,message,201,42.700,backend-3,true
0.001,message,201,44.460,backend-3,true
0.002,message,201,43.370,backend-3,true
0.002,message,201,43.600,backend-2,true
0.027,message,201,18.240,backend-2,true
0.008,message,201,37.460,backend-2,true
0.007,message,201,37.930,backend-2,true
0.003,message,201,42.730,backend-1,true
0.008,message,201,37.420,backend-2,true
