t_s,route,status,latency_ms,backend,ok
0.001,message,201,31.000,backend-2,true
0.001,message,201,30.850,backend-2,true
0.000,message,201,31.320,backend-2,true
0.001,message,201,31.340,backend-1,true
0.001,message,201,31.300,backend-2,true
0.000,message,201,32.920,backend-2,true
0.001,message,201,33.300,backend-2,true
0.001,message,201,33.860,backend-2,true
0.000,message,201,35.340,backend-2,true
0.001,message,201,35.060,backend-2,true
0.000,message,201,35.620,backend-2,true
0.001,message,201,35.140,backend-2,true
0.001,message,201,35.170,backend-2,true
0.001,message,201,35.180,backend-2,true
0.001,message,201,35.270,backend-2,true
0.001,message,201,36.940,backend-3,true
0.003,message,201,35.030,backend-3,true
0.001,message,201,37.100,backend-1,true
0.001,message,201,37.510,backend-2,true
0.001,message,201,37.840,backend-2,true
0.001,message,201,37.640,backend-3,true
0.001,message,201,37.770,backend-1,true
0.001,message,201,38.030,backend-3,true
0.000,message,201,38.120,backend-3,true
0.000,message,201,38.180,backend-1,true
0.000,message,201,38.300,backend-2,true
0.000,message,201,38.500,backend-3,true
0.001,message,201,37.840,backend-3,true
0.001,message,201,38.310,backend-1,true
0.003,message,201,35.970,backend-1,true
0.001,message,201,38.360,backend-1,true
0.001,message,201,38.260,backend-3,true
0.003,message,201,35.920,backend-2,true
0.003,message,201,35.660,backend-1,true
0.001,message,201,38.390,backend-3,true
0.001,message,201,37.840,backend-2,true
0.003,message,201,35.680,backend-1,true
0.000,message,201,39.110,backend-1,true
0.000,message,201,38.940,backend-2,true
0.000,message,201,38.750,backend-3,true
0.002,message,201,37.460,backend-3,true
0.001,message,201,38.420,backend-3,true
0.000,message,201,38.820,backend-2,true
0.001,message,201,38.600,backend-1,true
0.003,message,201,36.060,backend-1,true
0.001,message,201,38.690,backend-1,true
0.003,message,201,36.050,backend-3,true
0.001,message,201,38.680,backend-3,true
0.000,message,201,38.940,backend-1,true
0.001,message,201,38.370,backend-1,true
0.001,message,201,38.210,backend-2,true
0.000,message,201,38.950,backend-1,true
0.001,message,201,37.970,backend-1,true
0.001,message,201,38.050,backend-1,true
0.003,message,201,36.410,backend-1,true
0.000,message,201,39.100,backend-1,true
0.001,message,201,38.350,backend-2,true
0.001,message,201,38.810,backend-3,true
0.002,message,201,37.920,backend-2,true
0.003,message,201,36.280,backend-2,true
0.003,message,201,36.200,backend-2,true
0.003,message,201,36.480,backend-1,true
0.001,message,201,38.950,backend-3,true
0.001,message,201,38.810,backend-2,true
0.001,message,201,38.890,backend-2,true
0.001,message,201,39.030,backend-3,true
0.000,message,201,39.470,backend-3,true
0.000,message,201,39.420,backend-3,true
0.000,message,201,39.470,backend-3,true
0.001,message,201,39.180,backend-1,true
0.003,message,201,36.640,backend-2,true
0.001,message,201,38.620,backend-3,true
0.003,message,201,36.590,backend-1,true
0.001,message,201,39.360,backend-2,true
0.002,message,201,38.240,backend-1,true
0.003,message,201,36.790,backend-2,true
0.002,message,201,38.510,backend-2,true
0.002,message,201,38.480,backend-1,true
0.001,message,201,39.360,backend-3,true
0.000,message,201,39.700,backend-3,true
0.002,message,201,38.420,backend-3,true
0.001,message,201,39.130,backend-3,true
0.003,message,201,36.830,backend-3,true
0.001,message,201,39.360,backend-1,true
0.003,message,201,37.440,backend-2,true
0.003,message,201,37.320,backend-1,true
0.003,message,201,37.500,backend-1,true
0.002,message,201,39.040,backend-1,true
0.001,message,201,39.500,backend-2,true
0.003,message,201,37.470,backend-1,true
0.000,message,201,40.470,backend-3,true
0.002,message,201,39.200,backend-3,true
0.003,message,201,37.650,backend-1,true
0.001,message,201,40.110,backend-3,true
0.003,message,201,37.560,backend-2,true
0.007,message,201,33.930,backend-1,true
0.004,message,201,37.200,backend-1,true
0.001,message,201,40.130,backend-1,true
