t_s,route,status,latency_ms,backend,ok
0.002,message,201,12.030,backend-3,true
0.002,message,201,12.760,backend-3,true
0.004,message,201,10.500,backend-1,true
0.002,message,201,12.670,backend-3,true
0.002,message,201,12.390,backend-1,true
0.002,message,201,14.320,backend-2,true
0.001,message,201,15.830,backend-2,true
0.002,message,201,20.980,backend-1,true
0.001,message,201,21.440,backend-1,true
0.002,message,201,20.890,backend-1,true
0.002,message,201,21.090,backend-2,true
0.003,message,201,20.160,backend-2,true
0.002,message,201,20.850,backend-2,true
0.002,message,201,21.650,backend-3,true
0.002,message,201,22.140,backend-2,true
0.002,message,201,22.460,backend-1,true
0.002,message,201,21.800,backend-1,true
0.004,message,201,20.280,backend-2,true
0.003,message,201,21.860,backend-2,true
0.002,message,201,22.450,backend-2,true
0.003,message,201,21.630,backend-1,true
0.003,message,201,22.010,backend-1,true
0.001,message,201,23.400,backend-1,true
0.005,message,201,20.140,backend-1,true
0.002,message,201,23.200,backend-2,true
0.002,message,201,22.640,backend-1,true
0.002,message,201,23.240,backend-2,true
0.002,message,201,22.920,backend-1,true
0.003,message,201,22.790,backend-1,true
0.002,message,201,23.160,backend-1,true
0.002,message,201,23.110,backend-2,true
0.001,message,201,24.610,backend-1,true
0.003,message,201,23.110,backend-2,true
0.002,message,201,26.060,backend-1,true
0.001,message,201,27.510,backend-3,true
0.000,message,201,27.950,backend-1,true
0.003,message,201,25.920,backend-3,true
0.003,message,201,26.400,backend-2,true
0.003,message,201,28.940,backend-1,true
0.006,message,201,25.560,backend-2,true
0.003,message,201,28.720,backend-3,true
0.001,message,201,31.180,backend-3,true
0.006,message,201,25.700,backend-3,true
0.003,message,201,28.820,backend-3,true
0.001,message,201,30.560,backend-2,true
0.004,message,201,27.420,backend-3,true
0.002,message,201,29.760,backend-3,true
0.002,message,201,30.210,backend-3,true
0.006,message,201,26.060,backend-2,true
0.001,message,201,31.190,backend-2,true
0.001,message,201,31.120,backend-2,true
0.005,message,201,27.580,backend-2,true
0.005,message,201,27.760,backend-1,true
0.004,message,201,27.930,backend-3,true
0.004,message,201,27.940,backend-3,true
0.001,message,201,31.560,backend-3,true
0.004,message,201,28.880,backend-3,true
0.003,message,201,29.510,backend-3,true
0.001,message,201,31.920,backend-3,true
0.002,message,201,30.600,backend-3,true
0.014,message,201,19.240,backend-1,true
0.001,message,201,32.090,backend-1,true
0.002,message,201,31.000,backend-1,true
0.000,message,201,33.060,backend-2,true
0.001,message,201,31.490,backend-1,true
0.001,message,201,32.010,backend-3,true
0.001,message,201,32.240,backend-1,true
0.002,message,201,31.440,backend-1,true
0.002,message,201,31.460,backend-3,true
0.001,message,201,31.890,backend-1,true
0.000,message,201,33.150,backend-2,true
0.002,message,201,31.630,backend-1,true
0.003,message,201,30.340,backend-1,true
0.002,message,201,31.550,backend-2,true
0.002,message,201,30.920,backend-3,true
0.002,message,201,30.900,backend-3,true
0.002,message,201,30.920,backend-1,true
0.002,message,201,30.910,backend-3,true
0.003,message,201,30.430,backend-1,true
0.004,message,201,28.860,backend-3,true
0.001,message,201,32.120,backend-1,true
0.001,message,201,32.080,backend-3,true
0.001,message,201,32.570,backend-2,true
0.003,message,201,30.590,backend-3,true
0.002,message,201,31.130,backend-1,true
0.002,message,201,31.590,backend-3,true
0.001,message,201,32.670,backend-2,true
0.002,message,201,30.910,backend-2,true
0.013,message,201,20.180,backend-1,true
0.003,message,201,30.490,backend-3,true
0.002,message,201,31.000,backend-1,true
0.013,message,201,20.050,backend-1,true
0.007,message,201,26.920,backend-1,true
0.001,message,201,32.640,backend-3,true
0.002,message,201,31.940,backend-3,true
0.001,message,201,32.280,backend-3,true
0.002,message,201,31.770,backend-3,true
0.001,message,201,32.450,backend-3,true
0.005,message,201,28.850,backend-3,true
0.003,message,201,30.790,backend-3,true
0.002,message,201,31.890,backend-1,true
0.004,message,201,29.170,backend-3,true
0.001,message,201,32.690,backend-3,true
0.003,message,201,30.720,backend-1,true
0.005,message,201,28.840,backend-1,true
0.001,message,201,33.060,backend-1,true
0.003,message,201,30.490,backend-3,true
0.003,message,201,30.720,backend-1,true
0.001,message,201,32.230,backend-3,true
0.001,message,201,32.320,backend-1,true
0.002,message,201,31.410,backend-1,true
0.002,message,201,31.860,backend-1,true
0.000,message,201,33.350,backend-1,true
0.000,message,201,33.600,backend-1,true
0.002,message,201,32.160,backend-3,true
0.014,message,201,20.140,backend-2,true
